New Category,New Category_Subgroup,Old Category,BPG,Date of publication,Status,Version,comments,organisation,WG lead,WG lead email,WG members,Justification 
Constitutional / Rare & Inherited Diseases ,Cytogenomics,Cytogenetic Constitutional,ACC Postnatal,1/1/2007,out of date,1.01,"The ACC provides structured postnatal follow-up to support mothers and newborns. Based on the Best Practice Guideline: Postnatal Care of the Mother and Newborn, staff must:

Introduce themselves and explain the visit.

Assess maternal wellbeing (pain, bleeding, mood, wound healing).

Assess infant wellbeing (feeding, growth, hydration, bonding).

Support breastfeeding/nutrition and provide guidance.

Educate on warning signs (e.g., heavy bleeding, fever, feeding issues).

Promote mental health and safe sleep practices.

Close the visit with: “Is there anything else I can do for you?”

Document and arrange follow-up.",ACGS,,,,An ACC (Association for Clinical Cytogenetics) guideline for postnatal cytogenetic testing in patients with constitutional (germline) chromosomal abnormalities[1]. This pertains to non-cancer genetic diagnostics. 
Constitutional / Rare & Inherited Diseases,Cytogenomics,Cytogenetic Constitutional,Constitutional aCGH,1/1/2011,out of date,2,Allegedly in draft,ACGS,,,,Best-practice guidelines for performing array CGH in constitutional (inherited) genome analysis[2]. It addresses a cytogenetic assay (microarray) used to detect germline copy-number variants in rare diseases. 
Oncology ,Solid tumour,Cytogenetic Constitutional,Solid Tissue,1/1/2010,out of date,1,,ACGS,,,,"“Solid tissue” refers to cytogenetic analysis of solid tumours. The ACC Solid Tissue BPG (2010) covers best practices for tumor (somatic) karyotyping/FISH[3], so it falls under oncology (solid tumour diagnostics). "
Constitutional / Rare & Inherited Diseases,Cytogenomics,Cytogenetic Constitutional,Germline Cytogenomics,1/1/2010,Current,,In draft,ACGS,"Kathy Mann
",,,"Encompasses constitutional (germline) cytogenetic/genomic testing guidelines. It covers analysis of inherited chromosomal abnormalities (postnatal, prenatal, etc.), fitting in the Rare & Inherited disease category[1]. "
Constitutional / Rare & Inherited Diseases,,Disease Specific,C9orf,,Current,,,ACGS,,,,"Guidelines for C9orf72 hexanucleotide repeat testing, used in inherited ALS/FTD. C9orf72 expansions cause a familial neurodegenerative disorder[4], so this BPG relates to rare inherited disease genetics (not oncology). "
Constitutional / Rare & Inherited Diseases,,Disease Specific,Breakage syndromes,1/1/2010,Current,,,ACGS,,,,"Covers testing for chromosomal breakage syndromes (e.g. Fanconi anemia, AT). These are rare autosomal recessive disorders of genome instability[5], thus categorized under rare inherited disease guidelines. "
Constitutional / Rare & Inherited Diseases,,Disease Specific,FH,1/1/2010,Current,,,ACGS,,,,"FH is an inherited metabolic disorder (high cholesterol). There are UK guidelines for FH genetic testing[6], indicating it’s a germline condition. The BPG for FH falls under Rare & Inherited Diseases. "
Oncology ,Solid tumour,Disease Specific,DPYD,1/1/2010,Under Review,,,ACGS,,,,"DPYD genotyping is done to predict fluoropyrimidine chemotherapy toxicity in cancer patients[7][8]. It involves germline variants but is applied in oncology care (solid tumor therapy), so it’s in Cancer. "
Oncology ,Solid tumour,Disease Specific ,BRCA,1/1/2010,Current,,,ACGS,,,,"BRCA1/2 testing guidelines deal with hereditary breast and ovarian cancer predisposition. This is a familial cancer syndrome[9], so it falls under the oncology category (solid tumours – familial cancer). "
Oncology ,Solid tumour,Disease Specific ,HC,1/1/2010,Current,,,ACGS,,,,"Likely a general hereditary cancer guideline. It would cover familial cancer predispositions (like BRCA, Lynch, etc.), thus belonging in the Cancer/Oncology category. (E.g. familial cancer BPGs were developed by CMGS[9].) "
